Gene.Model.ID	Gene.Symbol	Full.Name	Source	Chromosome	Start	End
AC194965.4_FG004	gata12	C2C2-GATA-transcription factor 12	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"127,629,032"	"127,630,234"
AC194970.5_FG001	ggps1	geranylgeranyl pyrophosphate synthase1	From homology to Genbank sequence	Chr2	"207,900,564"	"207,901,904"
AC194970.5_FG002	bzr7	BZR-transcription factor 7	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"207,890,126"	"207,891,291"
AC195147.3_FG001	mab1	math-btb1	"Juranic et al., 2012"	Chr7	"168,147,615"	"168,148,658"
AC195340.3_FG001	tua3	alpha tubulin3	from: BT054944	Chr5	"5,434,731"	"5,437,116"
AC195340.3_FG004	iaa20	Aux/IAA-transcription factor 20	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"5,379,304"	"5,384,290"
AC195874.2_FG002	ap17	clathrin coat assembly protein  AP17	from: EU959074	Chr2	"220,221,529"	"220,227,569"
AC196110.4_FG004	psei9	cystatin9	from alignment of cloning primers in van der Linde et al 2012	Chr4	"15,343,574"	"15,344,100"
AC196465.3_FG006	ddt5	DDT-transcription factor 5	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"149,438,422"	"149,444,943"
AC196475.3_FG004	bm3	brown midrib3	Classical Gene	Chr4	"32,278,881"	"32,280,752"
AC196475.3_FG005	nactf77	NAC-transcription factor 77	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"32,272,270"	"32,275,424"
AC197146.3_FG002	myb69	MYB-transcription factor 69	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"2,469,595"	"2,470,558"
AC197246.3_FG001	ras11G1	ras-related protein11G1		Chr1	"192,134,798"	"192,137,078"
AC197672.3_FG002	acc1	acetyl-coenzyme A carboxylase1	chr10 gene homologous to U58598	Chr10	"98,149,608"	"98,168,566"
AC197699.3_FG001	zmm3	Zea mays MADS3	from: Y09301	Chr9	"17,021,226"	"17,024,054"
AC197705.4_FG001	pdc1	pyruvate decarboxylase1	from X17555	Chr8	"117,692,828"	"117,694,964"
AC197764.4_FG003	zim30	ZIM-transcription factor 30	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"36,853,650"	"36,854,491"
AC198366.3_FG004	gras29	GRAS-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"1,890,881"	"1,892,401"
AC198403.3_FG001	ereb106	AP2-EREBP-transcription factor 106	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"10,908,008"	"10,908,646"
AC198418.3_FG005	rh4	RNA helicase4	"B73_v2 gene model corresponds to B73_v1 GRMZM2G163072 (maizesequence.org); was GRMZM2G163072 in B73_v1, not in B73_v2; from Asakura et al 2012"	Chr1	"295,187,054"	"295,270,267"
AC198481.3_FG004	trrap1	transformation/transcription domain-associated protein1  		Chr7	"170,140,855"	"170,144,944"
AC198518.3_FG005	bhlh58	bHLH-transcription factor 58	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"107,386,150"	"107,387,495"
AC198725.4_FG004	ofp19	OVATE-transcription factor 19	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"217,373,974"	"217,375,254"
AC198725.4_FG009	wrky64	WRKY-transcription factor 64	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"217,293,881"	"217,296,220"
AC198937.4_FG005	nactf37	NAC-transcription factor 37	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"83,598,016"	"83,599,406"
AC198979.4_FG009	ereb95	AP2-EREBP-transcription factor 95	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"10,988,032"	"10,988,424"
AC199526.5_FG003	caf2	crs2 associated factor2	alignment of cDNA AY264369 GI:30349368 to B73_v2 (Jul 2011)	Chr3	"58,874,517"	"58,886,337"
AC199526.5_FG003	caf2	crs2 associated factor2	Classical Gene	Chr3	"58,874,517"	"58,886,337"
AC199782.5_FG003	tcptf19	TCP-transcription factor 19	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"195,005,257"	"195,006,904"
AC199820.4_FG006	mybr29	MYB-related-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"210,594,735"	"210,595,406"
AC200038.4_FG011	ereb120	AP2-EREBP-transcription factor 120	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"21,602,442"	"21,603,594"
AC200057.4_FG007	bzip47	bZIP-transcription factor 47	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"140,723,278"	"140,728,024"
AC200124.3_FG005	gras66	GRAS-transcription factor 66	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"62,906,676"	"62,907,011"
AC201832.3_FG006	ca5p18	CCAAT-HAP5-transcription factor 518	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"119,573,868"	"119,575,960"
AC202185.4_FG004	umc1461			Chr1	"122,169,770"	"122,170,960"
AC202864.3_FG002	gata25	C2C2-GATA-transcription factor 25	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"160,741,348"	"160,742,841"
AC203535.4_FG001	myb2	myb transcription factor2	Classical Gene	Chr3	"157,551,793"	"157,560,623"
AC203535.4_FG002	nactf90	NAC-transcription factor 90	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"157,618,651"	"157,620,063"
AC203865.3_FG001	cpp13	CPP-transcription factor 13	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"119,995,077"	"119,998,350"
AC203957.3_FG004	bzip40	bZIP-transcription factor 40	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"175,112,514"	"175,113,156"
AC203966.5_FG005	ga20ox1	gibberellin 20-oxidase1	from: NM_001112453	Chr1	"299,607,382"	"299,608,497"
AC204212.4_FG001	mybr78	MYB-related-transcription factor 78	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"201,176,614"	"201,176,904"
AC204292.4_FG006	AY110435			Chr6	"137,265,858"	"137,268,134"
AC204502.4_FG006	ofp36	OVATE-transcription factor 36	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"169,827,040"	"169,828,125"
AC204621.4_FG006	gras59	GRAS-transcription factor 59	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"1,274,853"	"1,275,830"
AC205274.3_FG001	prp1	pathogenesis-related protein1	Classical Gene	Chr8	"51,816,721"	"51,817,224"
AC205471.4_FG003	hsftf16	HSF-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"124,710,390"	"124,712,153"
AC205484.3_FG005	nactf58	NAC-transcription factor 58	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"124,806,079"	"124,815,002"
AC205562.3_FG002	wrky97	WRKY-transcription factor 97	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"73,393,297"	"73,394,259"
AC205574.3_FG006	tcptf33	TCP-transcription factor 33	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"3,475,925"	"3,478,586"
AC205703.4_FG006	gl8	glossy8	Classical Gene	Chr5	"181,248,005"	"181,251,026"
AC206165.3_FG007	hsftf15	HSF-transcription factor 15	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"159,812,447"	"159,814,105"
AC206901.3_FG005	myb132	MYB-transcription factor 132	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"130,744,061"	"130,745,625"
AC206941.2_FG002	ole3	oleosin3	Classical Gene	Chr5	"12,302,727"	"12,303,287"
AC206951.3_FG016	ereb181	AP2-EREBP-transcription factor 181	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"17,518,824"	"17,519,639"
AC206951.3_FG017	ereb182	AP2-EREBP-transcription factor 182	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"17,525,572"	"17,526,492"
AC207342.3_FG001	nlp5	NLP-transcription factor 5	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"135,914,954"	"135,916,479"
AC207656.3_FG002	arftf19	ARF-transcription factor 19	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"49,282,509"	"49,284,911"
AC207722.2_FG009	lhcb2	light harvesting chlorophyll a/b binding protein2	Classical Gene	Chr7	"147,094,052"	"147,095,217"
AC207888.3_FG009	lbd15	LBD-transcription factor 15	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"234,934,167"	"234,936,218"
AC208110.2_FG001	wrky112	WRKY-transcription factor 112	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"140,081,545"	"140,084,417"
AC208663.3_FG002	nactf34	NAC-transcription factor 34	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"30,554,102"	"30,555,190"
AC209050.3_FG003	wrky114	WRKY-transcription factor 114	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"96,492,394"	"96,493,954"
AC209206.3_FG011	ago1b	argonaute1b	"Xu et al., 2016"	Chr10	"137,506,877"	"137,513,415"
AC209208.3_FG002	pip1b	plasma membrane intrinsic protein1	Classical Gene	Chr5	"193,359,341"	"193,362,190"
AC209257.4_FG006	ereb100	AP2-EREBP-transcription factor 100	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"153,427,827"	"153,429,877"
AC209374.4_FG002	mecs2	methyl erythritol cyclodiphosphate synthase2	"Owens et al., 2014"	Chr5	"196,331,063"	"196,332,805"
AC209784.3_FG011	thx27	Trihelix-transcription factor 27	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"181,029,394"	"181,032,191"
AC209819.3_FG009	dof44	C2C2-Dof-transcription factor 44	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"122,590,335"	"122,590,955"
AC209819.3_FG012	rop7	Rho-related protein from plants 7		Chr8	"122,478,251"	"122,480,444"
AC209858.4_FG004	hagtf1	GNAT-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"11,299,653"	"11,300,336"
AC210013.4_FG005	ipt5	isopentenyl transferase5	from EU263128	Chr5	"3,324,796"	"3,325,809"
AC210013.4_FG013	wtf2	what's this factor2		Chr5	"3,403,642"	"3,407,902"
AC210013.4_FG018	umc1679			Chr5	"3,428,187"	"3,429,834"
AC210168.4_FG003	umc1174			Chr3	"126,528,728"	"126,530,274"
AC210173.4_FG005	fah1	ferulic acid 5-hydroxylase1		Chr1	"224,102,016"	"224,105,678"
AC210193.4_FG002	umc1767			Chr3	"196,630,719"	"196,631,558"
AC210616.4_FG005	eil5	EIL-transcription factor 5	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"124,304,670"	"124,305,995"
AC210848.3_FG004	dsy2	desynaptic2	"Lee et al., 2015"	Chr5	"89,755,508"	"89,760,884"
AC211276.4_FG008	pve1	puncate vascular expression1	from Zhang et al 2012	Chr5	"16,435,871"	"16,436,953"
AC211394.4_FG004	acp1	acid phosphatase1		Chr9	"95,254,430"	"95,260,811"
AC211478.3_FG004	nactf100	NAC-transcription factor 100	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"141,524,464"	"141,524,928"
AC211652.4_FG002	fha10	FHA-transcription factor 10	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"20,429,258"	"20,434,163"
AC212219.3_FG005	AC212219.3_FG005			Chr1	"44,959,525"	"44,965,073"
AC212684.3_FG012	emp17	empty pericarp17	"Yang et al., 2017"	Chr7	"172,405,097"	"172,407,361"
AC212823.4_FG003	mads65	MADS-transcription factor 65	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"167,376,720"	"167,382,187"
AC212859.3_FG008	nactf103	NAC-transcription factor 103	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"26,370,683"	"26,372,492"
AC213099.3_FG001	umc1917			Chr1	"62,921,411"	"62,922,558"
AC213524.3_FG003	tcptf42	TCP-transcription factor 42	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"193,546,929"	"193,548,421"
AC213600.3_FG002	rz382a			Chr3	"44,316,722"	"44,341,441"
AC213666.3_FG003	ereb70	AP2-EREBP-transcription factor 70	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"24,212,770"	"24,213,261"
AC213884.3_FG002	myb119	MYB-transcription factor 119	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"140,735,955"	"140,737,064"
AC214168.3_FG001	e2f17	E2F-DP-transcription factor 217	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"56,303,461"	"56,307,449"
AC214360.3_FG001	ks4	kaurene synthase4	from: BT054450	Chr3	"110,200,299"	"110,204,076"
AC214448.3_FG007	umc2268			Chr3	"181,844,889"	"181,846,241"
AC214507.3_FG001	cfm6	CRM family member6	from: DQ402046	Chr10	"125,952,699"	"125,954,050"
AC214648.3_FG005	lbd39	LBD-transcription factor 39	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"131,315,533"	"131,316,325"
AC214791.2_FG002	pebp20	phosphatidylethanolamine-binding protein20	Classical Gene	Chr10	"36,388,693"	"36,389,588"
AC215198.3_FG002	ppr2263	pentatricopeptide repeat protein2263	from Sosso et al 2012 	Chr9	"12,723,540"	"12,725,903"
AC215201.3_FG005	cps2	chloroplast protein synthesis2		Chr6	"142,273,603"	"142,277,674"
AC215260.3_FG003	hct7	hydroxycinnamoyltransferase7	"Wang et al.,2015"	Chr3	"17,028,296"	"17,029,723"
AC215690.3_FG002	sacd11	stearoyl-acyl-carrier-protein desaturase11		Chr10	"106,806,918"	"106,810,315"
AC216247.3_FG001	hsftf19	HSF-transcription factor 19	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"63,539,447"	"63,541,926"
AC216731.3_FG001	bhlh89	bHLH-transcription factor 89	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"201,922,854"	"201,924,055"
AC217050.4_FG007	tps7	terpene synthase7	from AY518316	Chr1	"214,936,884"	"214,943,430"
AC217051.3_FG006	pebp5	phosphatidylethanolamine-binding protein	Classical Gene	Chr10	"114,050,161"	"114,051,244"
AC217264.3_FG005	myb58	MYB-transcription factor 58	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"246,090,026"	"246,092,492"
AC217293.3_FG007	srk1	S-receptor kinase1	from: BT060988	Chr2	"232,381,878"	"232,388,093"
AC217358.3_FG005	phb4	prohibitin4		Chr1	"296,971,341"	"296,973,619"
AC217415.3_FG004	se1	sugary-enhancer1	"Haro von Mogel, 2014"	Chr2	"230,653,379"	"230,653,900"
AC217842.3_FG001	ptk4	protein kinase homolog4	alignment of GenBank accession M62985 to B73_v2	Chr2	"156,421,058"	"156,425,687"
AC217910.3_FG006	lbd9	LBD-transcription factor 9	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"217,326,067"	"217,327,326"
AC217965.2_FG012	tha8	thylakoid assembly8	From: AY530730	Chr8	"15,108,789"	"15,109,580"
AC217975.3_FG001	pdk4	"pyruvate, orthophosphate dikinase4"		Chr7	"168,632,072"	"168,635,401"
AC218973.3_FG003	lbd18	LBD-transcription factor 18	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"93,840,474"	"93,841,301"
AC219006.2_FG007	rad51e	recombination protein51 gene e	"Zhang et al, 2014"	Chr8	"131,503,426"	"131,513,533"
AC219020.4_FG002	glk33	G2-like-transcription factor 33	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"105,920,220"	"105,922,516"
AC225127.3_FG003	ms44	male sterile44	"Fox et al., 2017"	Chr4	"195,238,767"	"195,239,581"
AC225147.4_FG003	alf15	Alfin-like-transcription factor 15	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"292,952,249"	"292,956,375"
AC225176.2_FG003	umc1330			Chr10	"122,822,005"	"122,822,740"
AC226235.2_FG001	irl1	isoflavone reductase-like1		Chr3	"30,997,053"	"30,998,201"
AC230011.2_FG002	rp3	resistance to Puccinia sorghi3	From homology to genbank accession AF489541	Chr3	"113,913,960"	"113,920,267"
AC232238.2_FG004	lrs1	liguleless related sequence1	"from: AY180107; assigned by the Grassius project, (Yilmaz et al 2009) to bzip90"	Chr8	"166,341,735"	"166,349,613"
AC233751.1_FG002	not1	neighbor of tga1	Preston et al 2011	Chr4	"44,806,723"	"44,811,049"
AC233850.1_FG005	e2f4	E2F-DP-transcription factor 24	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"169,877,246"	"169,881,176"
AC233853.1_FG002	bzip117	bZIP-transcription factor 117	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"3,820,878"	"3,822,105"
AC233865.1_FG003	nactf121	NAC-transcription factor 121	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"146,634,161"	"146,635,852"
AC233866.1_FG006	elfa11	elongation factor alpha11		Chr6	"137,601,820"	"137,603,647"
AC233871.1_FG008	c3h33	C3H-transcription factor 333	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"1,823,275"	"1,825,348"
AC233878.1_FG004	cap4	calcium pump4		Chr1	"272,711,753"	"272,730,612"
AC233879.1_FG002	esp1	embryo specific protein1	from: X55388	Chr6	"140,536,934"	"140,537,348"
AC233880.1_FG006	nlp1	NLP-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"1,290,534"	"1,292,045"
AC233888.1_FG001	umc259a			Chr10	"127,957,386"	"127,959,778"
AC233888.1_FG002	col7	C2C2-CO-like-transcription factor 7	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"127,941,747"	"127,942,849"
AC233899.1_FG002	bhlh21	bHLH-transcription factor 21	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"149,930,657"	"149,932,165"
AC233899.1_FG004	hb12	Homeobox-transcription factor 12	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"149,912,584"	"149,914,098"
AC233912.1_FG001	mads21	MADS-transcription factor 21	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"19,993,628"	"19,995,763"
AC233933.1_FG001	ereb128	AP2-EREBP-transcription factor 128	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"34,482,445"	"34,483,233"
AC233935.1_FG005	dof30	C2C2-Dof-transcription factor 30	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"40,917,520"	"40,918,920"
AC233943.1_FG002	ra2	ramosa2	Classical Gene	Chr3	"12,890,068"	"12,890,853"
AC233943.1_FG002	ra2	ramosa2	less than 1/3 of gene based on alignment with cDNA BT035538 GI:194692917 and genomic sequence  DQ327701.1 (Jul 2011) 	Chr3	"12,890,068"	"12,890,853"
AC233950.1_FG002	tb1	teosinte branched1	Classical Gene	Chr1	"265,811,311"	"265,813,044"
AC233955.1_FG003	nas7	nicotianamine synthase7	from Zhou et al 2013	Chr9	"135,559,726"	"135,560,709"
AC233959.1_FG003	bnlg1902			Chr5	"80,447,881"	"80,448,183"
AC233960.1_FG002	aox1	alternative oxidase1 	aligns to sequence accession AY059646	Chr5	"200,032,552"	"200,035,241"
AC233960.1_FG003	glk11	G2-like-transcription factor 11	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"200,029,375"	"200,031,847"
AC233960.1_FG005	bhlh122	bHLH-transcription factor 122	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"200,017,893"	"200,019,898"
AC233961.1_FG001	sdg101	set domain gene101		Chr7	"20,255,014"	"20,257,584"
AC234149.1_FG002	lbd37	LBD-transcription factor 37	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"122,851,972"	"122,852,823"
AC234152.1_FG002	kch6	potassium channel6		Chr8	"101,614,919"	"101,619,583"
AC234152.1_FG007	kch6	potassium channel6		Chr8	"101,584,706"	"101,585,466"
AC234155.1_FG002	glk25	G2-like-transcription factor 25	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"119,108,477"	"119,111,419"
AC234157.1_FG002	lem1	lethal embryo mutant1	Classical Gene	Chr1	"281,175,269"	"281,177,006"
AC234161.1_FG001	piip1	physical impedance induced protein1	Classical Gene	Chr9	"117,425,596"	"117,425,985"
AC234164.1_FG004	gras42	GRAS-transcription factor 42	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"24,984,785"	"24,987,244"
AC234185.1_FG006	mads59	MADS-transcription factor 59	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"72,172,257"	"72,173,003"
AC234199.1_FG003	atm1	ataxia-telangiectasia mutated1		Chr3	"30,441,422"	"30,454,493"
AC234203.1_FG011	eil13	EIL-transcription factor 3	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"188,105,263"	"188,107,161"
AC234520.1_FG003	glk9	G2-like-transcription factor 9	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"164,385,468"	"164,386,298"
AC234521.1_FG006	tcptf34	TCP-transcription factor 34	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"22,891,424"	"22,892,551"
AC235534.1_FG007	ocl2	outer cell layer2	Classical Gene	Chr10	"136,957,427"	"136,964,001"
AC235541.1_FG002	uaz262			Chr2	"70,334,195"	"70,338,285"
AC235541.1_FG002	umc1454			Chr2	"70,334,195"	"70,338,285"
AF546187.1_FG001	az19D1	alpha zein 19kDa D1	from: AF371267	Chr1	"161,790,710"	"161,791,432"
AF546187.1_FG007	az19D2	alpha zein 19kDa D2	from: AF371268	Chr1	"162,006,911"	"162,007,636"
AF546188.1_FG005	zp2	zein protein2	"Yang et al., 2016"	Chr7	"18,865,424"	"18,866,146"
AF546188.1_FG007	de30	defective endosperm B30	Based on homology to Genbank Acc No. AY434688 (Kim et al. 2004)	Chr7	"18,877,460"	"18,878,182"
EF517601.1_FG010	gbptf21	GeBP-transcription factor 21	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"34,497,929"	"34,499,128"
EF517601.1_FG016	mfs18	male flower specific18		Chr3	"34,681,198"	"34,681,584"
GRMZM2G000158	iaa25	Aux/IAA-transcription factor 25	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"80,078,086"	"80,079,839"
GRMZM2G000171	bzip83	bZIP-transcription factor 83	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"61,724,734"	"61,728,541"
GRMZM2G000236	opr2	12-oxo-phytodienoic acid reductase2	B72_v2 alignment to AY921639	Chr9	"7,308,584"	"7,310,337"
GRMZM2G000278	spk1	stress-induced protein kinase1	from: BT055373	Chr5	"171,731,069"	"171,736,269"
GRMZM2G000510	ucp3	uncoupling protein homolog3		Chr4	"32,433"	"63,643"
GRMZM2G000520	ereb127	AP2-EREBP-transcription factor 127	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"155,637,630"	"155,639,087"
